iter	RMSE
0	17.32078959
1	17.20732218
2	17.13391648
3	17.07099575
4	17.01218995
5	16.95764514
6	16.9227651
7	16.88891304
8	16.88404753
9	16.83042077
10	16.76250058
11	16.74132244
12	16.71349158
13	16.66288249
14	16.64616834
15	16.63669181
16	16.62726506
17	16.60035001
18	16.59084056
19	16.57335088
20	16.5634926
21	16.54673467
22	16.51852227
23	16.47750137
24	16.44843938
25	16.44553733
26	16.43985734
27	16.40674214
28	16.36879775
29	16.35506477
30	16.34121489
31	16.32496553
32	16.27031488
33	16.26287224
34	16.25848461
35	16.24611465
36	16.23837284
37	16.2349811
38	16.23060395
39	16.20927091
40	16.18333774
41	16.18212619
42	16.15998995
43	16.15287262
44	16.13707595
45	16.11199046
46	16.08297068
47	16.06547155
48	16.05268134
49	16.04130138
50	16.04077999
51	16.01778412
52	16.01322363
53	15.97755259
54	15.96304484
55	15.92872106
56	15.91610749
57	15.86587167
58	15.84788876
59	15.83589143
60	15.7967814
61	15.78078827
62	15.75687706
63	15.7332424
64	15.72277939
65	15.69440163
66	15.68504851
67	15.64829931
68	15.63659276
69	15.59575029
70	15.57715795
71	15.56583264
72	15.53912842
73	15.49716489
74	15.49181095
75	15.4791312
76	15.47477361
77	15.45285925
78	15.44054136
79	15.42473752
80	15.42169393
81	15.41214736
82	15.39115937
83	15.36027725
84	15.3416421
85	15.30605174
86	15.29837375
87	15.28196093
88	15.27257313
89	15.23777497
90	15.20704786
91	15.20319127
92	15.19051531
93	15.16008043
94	15.14763097
95	15.10118071
96	15.08648199
97	15.0490128
98	15.03997002
99	15.03704694
100	15.02595105
101	15.0132693
102	14.97938364
103	14.97311292
104	14.96351458
105	14.94124946
106	14.92965749
107	14.87009297
108	14.86729856
109	14.86174262
110	14.85088961
111	14.84069791
112	14.83876985
113	14.83420181
114	14.82605384
115	14.80355317
116	14.77972835
117	14.77439963
118	14.77041525
119	14.75539879
120	14.71956735
121	14.69618878
122	14.67073756
123	14.65733041
124	14.62177355
125	14.61447669
126	14.58480547
127	14.57259151
128	14.56724877
129	14.55349568
130	14.55190869
131	14.53662649
132	14.51788178
133	14.51454054
134	14.49630671
135	14.4960656
136	14.48178095
137	14.47549851
138	14.46868477
139	14.46829167
140	14.46801824
141	14.46461866
142	14.45672282
143	14.45322249
144	14.44763263
145	14.4174804
146	14.3920356
147	14.36966176
148	14.34083665
149	14.3307244
150	14.31156854
151	14.2965436
152	14.27693097
153	14.27097833
154	14.24686776
155	14.23713258
156	14.23156272
157	14.21427444
158	14.20826051
159	14.15996535
160	14.1484558
161	14.13297931
162	14.12546585
163	14.10222087
164	14.08365521
165	14.07541313
166	14.06447266
167	14.05343871
168	14.04877215
169	14.03483479
170	14.03002742
171	14.02735412
172	14.02418169
173	14.0133688
174	14.00085155
175	13.97487611
176	13.94858478
177	13.94029185
178	13.93628328
179	13.93565755
180	13.92409386
181	13.89422011
182	13.87990558
183	13.87154855
184	13.86904325
185	13.85272009
186	13.82089976
187	13.81810219
188	13.7965289
189	13.7780945
190	13.7638715
191	13.75482404
192	13.73472353
193	13.70760259
194	13.68252017
195	13.66789459
196	13.66192767
197	13.65858448
198	13.65225196
199	13.64748587
