iter	Passed	Remaining
0	8	1684
1	27	2682
2	43	2825
3	57	2808
4	73	2870
5	89	2894
6	104	2894
7	119	2874
8	124	2648
9	138	2632
10	152	2619
11	165	2598
12	180	2599
13	197	2621
14	217	2681
15	231	2659
16	247	2660
17	262	2652
18	278	2651
19	293	2641
20	307	2621
21	323	2613
22	337	2598
23	351	2580
24	366	2563
25	380	2547
26	392	2515
27	406	2497
28	421	2484
29	435	2469
30	450	2456
31	465	2442
32	479	2425
33	494	2412
34	508	2397
35	522	2382
36	530	2337
37	542	2314
38	557	2299
39	571	2286
40	585	2271
41	590	2222
42	605	2210
43	619	2197
44	634	2184
45	648	2172
46	663	2159
47	677	2144
48	692	2133
49	707	2122
50	717	2095
51	732	2084
52	747	2071
53	761	2058
54	777	2048
55	791	2036
56	807	2026
57	822	2013
58	837	2000
59	852	1988
60	867	1976
61	882	1965
62	898	1954
63	915	1944
64	935	1943
65	954	1938
66	971	1927
67	988	1918
68	1011	1919
69	1031	1916
70	1049	1906
71	1070	1902
72	1087	1891
73	1102	1876
74	1119	1866
75	1136	1854
76	1152	1841
77	1168	1828
78	1183	1813
79	1198	1797
80	1212	1781
81	1227	1766
82	1243	1752
83	1257	1736
84	1271	1720
85	1286	1705
86	1301	1690
87	1315	1674
88	1330	1659
89	1345	1644
90	1360	1629
91	1374	1613
92	1389	1598
93	1403	1583
94	1418	1567
95	1443	1563
96	1460	1550
97	1479	1539
98	1501	1531
99	1522	1522
100	1545	1515
101	1569	1507
102	1592	1499
103	1616	1492
104	1639	1483
105	1663	1474
106	1685	1465
107	1707	1454
108	1724	1439
109	1740	1423
110	1754	1407
111	1772	1393
112	1788	1376
113	1802	1359
114	1820	1345
115	1843	1334
116	1865	1323
117	1891	1314
118	1915	1303
119	1937	1291
120	1960	1279
121	1986	1270
122	2008	1257
123	2026	1242
124	2043	1225
125	2058	1208
126	2074	1192
127	2089	1175
128	2109	1161
129	2129	1146
130	2148	1131
131	2175	1120
132	2220	1118
133	2253	1109
134	2273	1094
135	2291	1078
136	2311	1062
137	2329	1046
138	2348	1030
139	2366	1014
140	2384	997
141	2401	980
142	2419	964
143	2437	947
144	2453	930
145	2470	913
146	2486	896
147	2500	878
148	2521	863
149	2545	848
150	2563	831
151	2581	815
152	2597	797
153	2613	780
154	2629	763
155	2645	746
156	2660	728
157	2678	712
158	2697	695
159	2716	679
160	2735	662
161	2753	645
162	2771	629
163	2788	612
164	2804	594
165	2820	577
166	2835	560
167	2857	544
168	2880	528
169	2898	511
170	2919	495
171	2937	478
172	2953	460
173	2969	443
174	2986	426
175	3002	409
176	3017	392
177	3032	374
178	3047	357
179	3063	340
180	3079	323
181	3094	306
182	3109	288
183	3125	271
184	3140	254
185	3157	237
186	3173	220
187	3189	203
188	3203	186
189	3219	169
190	3234	152
191	3248	135
192	3262	118
193	3277	101
194	3294	84
195	3309	67
196	3324	50
197	3338	33
198	3353	16
199	3368	0
