iter	RMSE
0	16.82667225
1	16.29947171
2	15.91732004
3	15.52495154
4	15.06912618
5	14.72975658
6	14.41731737
7	14.05500994
8	13.77263709
9	13.45780192
10	13.19913987
11	12.92272986
12	12.69998431
13	12.46114501
14	12.25649373
15	12.03585212
16	11.82711767
17	11.68869026
18	11.52079118
19	11.33356917
20	11.18829628
21	11.0536076
22	10.91852179
23	10.78544253
24	10.66409134
25	10.56888766
26	10.48662784
27	10.39246228
28	10.30100253
29	10.22092146
30	10.127823
31	10.04606904
32	9.993924489
33	9.934329175
34	9.903197851
35	9.81870319
36	9.775732865
37	9.714930566
38	9.682996521
39	9.653815052
40	9.611674109
41	9.544516855
42	9.511405125
43	9.469373526
44	9.417365643
45	9.360213155
46	9.324888896
47	9.301761792
48	9.265769046
49	9.242961044
50	9.217198449
51	9.177250118
52	9.155030864
53	9.119096635
54	9.09630694
55	9.054378152
56	9.035811252
57	9.01117947
58	8.975336608
59	8.960338558
60	8.94099844
61	8.900478332
62	8.878676787
63	8.877414116
64	8.851084532
65	8.825732266
66	8.79469969
67	8.775809016
68	8.749964853
69	8.737096294
70	8.717851281
71	8.688513864
72	8.656063734
73	8.645738423
74	8.632487215
75	8.611601558
76	8.583794437
77	8.574257497
78	8.553800106
79	8.541887611
80	8.532692345
81	8.515353955
82	8.501139084
83	8.489166526
84	8.465111307
85	8.455232499
86	8.440485959
87	8.434244745
88	8.432619182
89	8.425361353
90	8.411371073
91	8.397020392
92	8.382705326
93	8.37618422
94	8.350899105
95	8.333328358
96	8.323997694
97	8.31948579
98	8.299637188
99	8.293296132
100	8.283735464
101	8.27559573
102	8.266643176
103	8.256434867
104	8.249412893
105	8.23849195
106	8.214267019
107	8.204911406
108	8.172767725
109	8.160015007
110	8.141578709
111	8.11473126
112	8.102061657
113	8.097885936
114	8.080735337
115	8.078102256
116	8.063591874
117	8.059730819
118	8.05201045
119	8.048581167
120	8.03388446
121	8.026126309
122	8.019479856
123	8.008924062
124	8.002013713
125	7.993082237
126	7.982567699
127	7.976221309
128	7.972124901
129	7.970210149
130	7.952018367
131	7.942247758
132	7.939136353
133	7.912263525
134	7.902344977
135	7.892868139
136	7.88333318
137	7.881468357
138	7.874978091
139	7.865653905
140	7.84472904
141	7.833990138
142	7.823369926
143	7.817201136
144	7.808338222
145	7.801627804
146	7.796162069
147	7.785874715
148	7.778470674
149	7.767546759
150	7.762199905
151	7.749030131
152	7.743029943
153	7.732185651
154	7.719265868
155	7.707097317
156	7.691691471
157	7.681495439
158	7.672783225
159	7.668171623
160	7.66718244
161	7.657741336
162	7.647737958
163	7.638080293
164	7.625076737
165	7.61956551
166	7.612385621
167	7.596863394
168	7.588112038
169	7.572690741
170	7.566138946
171	7.558580147
172	7.54467291
173	7.53851494
174	7.529316913
175	7.520060702
176	7.498168173
177	7.493729245
178	7.485062906
179	7.474822043
180	7.461645548
181	7.450908687
182	7.425286999
183	7.418538522
184	7.41562258
185	7.400860598
186	7.395308512
187	7.383923596
188	7.375631023
189	7.370474181
190	7.364669795
191	7.355521796
192	7.346153459
193	7.340201017
194	7.324490936
195	7.3112576
196	7.295250666
197	7.292946715
198	7.281381583
199	7.27119912
200	7.269683228
201	7.263991046
202	7.256483074
203	7.237191087
204	7.235259162
205	7.233781515
206	7.227289966
207	7.2213447
208	7.214982426
209	7.212959147
210	7.190404433
211	7.179337163
212	7.168679406
213	7.157549889
214	7.141387365
215	7.140072119
216	7.130808734
217	7.123201356
218	7.107855945
219	7.100402779
220	7.09648429
221	7.093196216
222	7.082516774
223	7.078049456
224	7.065371137
225	7.058376928
226	7.051887247
227	7.036432069
228	7.017773169
229	7.0089535
230	6.995070118
231	6.980220463
232	6.974181269
233	6.967337096
234	6.961931508
235	6.944236546
236	6.936514786
237	6.924198148
238	6.917006251
239	6.899197238
240	6.891904079
241	6.885129866
242	6.875278454
243	6.860882294
244	6.852545394
245	6.845011966
246	6.838187198
247	6.831943404
248	6.825981104
249	6.816430536
250	6.809915105
251	6.800326081
252	6.795379838
253	6.779867639
254	6.769953399
255	6.759057502
256	6.749852381
257	6.736080708
258	6.733561215
259	6.720329823
260	6.714138375
261	6.704241041
262	6.681253018
263	6.673825473
264	6.664559944
265	6.65437456
266	6.647707796
267	6.641253465
268	6.640305215
269	6.629289094
270	6.624124996
271	6.615744014
272	6.607446976
273	6.602823037
274	6.601661282
275	6.585660071
276	6.578583368
277	6.572851545
278	6.560505372
279	6.551084637
280	6.542523889
281	6.536262145
282	6.531214413
283	6.518881257
284	6.5150825
285	6.506192392
286	6.496494074
287	6.489264127
288	6.480989923
289	6.467751287
290	6.454593576
291	6.440044927
292	6.434609757
293	6.423065315
294	6.419726962
295	6.414168225
296	6.406654478
297	6.400633846
298	6.391316442
299	6.384179637
300	6.374426902
301	6.370012725
302	6.355708376
303	6.344778598
304	6.338750117
305	6.326325232
306	6.322513456
307	6.315602819
308	6.30555479
309	6.29699232
310	6.282733933
311	6.276902319
312	6.26937593
313	6.262945416
314	6.260543866
315	6.24988692
316	6.241948735
317	6.231424092
318	6.21520749
319	6.207029159
320	6.200790858
321	6.192681502
322	6.18514325
323	6.178271654
