iter	Passed	Remaining
0	30	30739
1	64	32217
2	91	30329
3	122	30457
4	161	32232
5	196	32633
6	231	32890
7	264	32809
8	301	33222
9	336	33328
10	375	33718
11	404	33333
12	431	32792
13	466	32839
14	500	32875
15	533	32821
16	563	32565
17	590	32241
18	623	32214
19	653	32006
20	682	31823
21	710	31603
22	739	31391
23	770	31327
24	801	31242
25	827	31015
26	857	30915
27	885	30727
28	913	30582
29	942	30463
30	970	30351
31	1000	30260
32	1028	30143
33	1058	30079
34	1087	29985
35	1119	29967
36	1146	29852
37	1175	29751
38	1202	29633
39	1229	29508
40	1257	29409
41	1284	29306
42	1312	29206
43	1384	30085
44	1438	30528
45	1480	30701
46	1512	30676
47	1547	30694
48	1581	30695
49	1610	30606
50	1641	30537
51	1670	30456
52	1703	30446
53	1733	30370
54	1763	30293
55	1792	30213
56	1821	30128
57	1849	30038
58	1877	29937
59	1905	29859
60	1934	29773
61	1968	29778
62	2001	29766
63	2013	29443
64	2044	29403
65	2097	29678
66	2131	29677
67	2164	29667
68	2196	29636
69	2228	29613
70	2260	29582
71	2294	29570
72	2341	29734
73	2384	29842
74	2426	29925
75	2469	30019
76	2519	30199
77	2557	30225
78	2600	30314
79	2637	30326
80	2674	30343
81	2712	30365
82	2747	30351
83	2777	30288
84	2813	30283
85	2853	30325
86	2891	30346
87	2921	30272
88	2935	30043
89	2962	29952
90	2992	29888
91	3020	29810
92	3048	29727
93	3074	29631
94	3105	29587
95	3133	29507
96	3161	29426
97	3187	29335
98	3215	29265
99	3243	29188
100	3270	29108
101	3298	29036
102	3326	28971
103	3353	28889
104	3380	28817
105	3409	28751
106	3439	28707
107	3466	28631
108	3499	28603
109	3536	28612
110	3565	28552
111	3592	28479
112	3618	28404
113	3645	28329
114	3676	28291
115	3706	28245
116	3733	28178
117	3761	28114
118	3788	28049
119	3817	27991
120	3845	27932
121	3872	27869
122	3899	27805
123	3927	27744
124	3955	27689
125	3984	27635
126	4011	27574
127	4043	27545
128	4077	27528
129	4091	27382
130	4118	27323
131	4145	27262
132	4172	27197
133	4200	27146
134	4227	27087
135	4253	27022
136	4280	26962
137	4298	26851
138	4326	26797
139	4353	26741
140	4380	26686
141	4407	26633
142	4435	26584
143	4464	26536
144	4491	26484
145	4519	26433
146	4547	26387
147	4576	26346
148	4606	26308
149	4634	26262
150	4663	26222
151	4695	26193
152	4724	26156
153	4752	26109
154	4780	26062
155	4808	26017
156	4847	26026
157	4877	25992
158	4905	25945
159	4933	25900
160	4959	25843
161	4985	25790
162	5014	25750
163	5041	25700
164	5068	25650
165	5096	25606
166	5149	25687
167	5181	25661
168	5212	25631
169	5243	25601
170	5274	25572
171	5308	25552
172	5337	25514
173	5364	25466
174	5393	25427
175	5421	25381
176	5447	25331
177	5479	25304
178	5508	25265
179	5536	25219
180	5565	25183
181	5594	25142
182	5621	25098
183	5652	25066
184	5684	25040
185	5712	24999
186	5739	24953
187	5766	24906
188	5795	24867
189	5824	24831
190	5852	24787
191	5880	24746
192	5907	24702
193	5935	24658
194	5964	24621
195	5991	24577
196	6019	24536
197	6046	24490
198	6074	24449
199	6101	24406
200	6129	24364
201	6158	24329
202	6188	24295
203	6218	24265
204	6249	24237
205	6276	24192
206	6303	24147
207	6330	24106
208	6366	24095
209	6396	24064
210	6425	24027
211	6455	23994
212	6483	23953
213	6510	23913
214	6537	23869
215	6565	23830
216	6602	23822
217	6635	23800
218	6668	23780
219	6700	23757
220	6731	23727
221	6759	23686
222	6786	23646
223	6813	23604
224	6847	23585
225	6875	23546
226	6902	23504
227	6930	23466
228	6959	23429
229	6988	23395
230	7017	23362
231	7045	23322
232	7073	23285
233	7101	23248
234	7129	23209
235	7155	23165
236	7183	23125
237	7212	23093
238	7241	23058
239	7271	23025
240	7299	22988
241	7326	22949
242	7354	22910
243	7381	22870
244	7409	22834
245	7437	22796
246	7465	22758
247	7494	22726
248	7521	22684
249	7549	22649
250	7577	22611
251	7607	22581
252	7637	22548
253	7668	22522
254	7695	22483
255	7723	22445
256	7752	22413
257	7784	22387
258	7812	22351
259	7840	22315
260	7868	22279
261	7896	22243
262	7925	22209
263	7954	22175
264	7981	22136
265	8009	22101
266	8038	22069
267	8066	22032
268	8094	21996
269	8121	21957
270	8150	21925
271	8179	21892
272	8208	21860
273	8237	21825
274	8265	21791
275	8291	21751
276	8320	21718
277	8351	21688
278	8395	21696
279	8442	21709
280	8487	21718
281	8532	21723
282	8566	21703
283	8595	21669
284	8624	21636
285	8656	21611
286	8683	21573
287	8711	21537
288	8740	21504
289	8768	21466
290	8798	21437
291	8828	21406
292	8858	21374
293	8885	21337
294	8912	21298
295	8941	21266
296	8969	21230
297	8997	21196
298	9026	21161
299	9053	21125
300	9081	21090
301	9110	21057
302	9138	21022
303	9165	20983
304	9193	20948
305	9221	20913
306	9247	20875
307	9275	20838
308	9307	20814
309	9338	20786
310	9368	20754
311	9397	20721
312	9423	20683
313	9450	20646
314	9478	20611
315	9506	20576
316	9534	20543
317	9563	20509
318	9591	20475
319	9622	20446
320	9654	20421
321	9682	20387
322	9710	20352
323	9737	20317
